NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NU_IDADE;TP_SEXO;CO_MUNICIPIO_NASCIMENTO;TP_ESCOLA;TP_ENSINO;TP_ESTADO_CIVIL;TP_COR_RACA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q005;Q006
1,50E+11;2015;Carapicuíba;35;SP;;;;23;M;3550308;1;;0;1;4749;5415;5639;3661;1;720;F;E;4;C
1,50E+11;2015;Toledo;31;MG;;;;21;F;3507605;1;;0;1;5624;5947;6173;634;1;720;B;B;1;B
1,50E+11;2015;Recife;26;PE;;;;28;F;2611606;1;;0;3;5454;5671;5475;436;1;720;E;D;4;G
1,50E+11;2015;Araraquara;35;SP;;;;17;F;3503208;1;;0;1;5488;6195;5942;6693;1;700;F;F;4;P
1,50E+11;2015;João Pessoa;25;PB;;;;27;M;2507507;1;;0;1;4843;643;5941;6499;1;700;E;F;5;I
1,50E+11;2015;Votorantim;35;SP;;;;31;M;3537909;1;;;2;5874;6862;6313;6376;1;700;B;E;4;C
1,50E+11;2015;Santo Antônio de Jesus;29;BA;;;;18;F;2928703;1;;0;0;6366;6045;5684;6337;1;700;H;H;3;G
1,50E+11;2015;Suzano;35;SP;;;;36;F;3552502;1;;2;2;447;6107;4769;5334;1;700;E;E;3;D
1,50E+11;2015;Brejo;21;MA;;;;18;M;2102101;1;;0;1;5582;6647;5721;5218;1;700;D;E;4;H
1,50E+11;2015;Pinhais;41;PR;;;;19;F;4119152;1;;0;1;5129;5976;5649;4342;1;700;D;B;5;C
1,50E+11;2015;Ipatinga;31;MG;;;;25;M;3131307;1;;0;2;5702;6154;6028;4338;1;700;E;E;1;C
1,50E+11;2015;São Paulo;35;SP;;;;18;F;3550308;1;;0;3;4228;6321;5497;4233;1;700;E;E;2;G
1,50E+11;2015;Nova Lima;31;MG;;;;20;M;3144805;1;;0;3;5314;6434;618;4216;1;700;C;E;3;G
1,50E+11;2015;Ritápolis;31;MG;;;;22;F;3156106;1;;0;1;4611;6138;5564;3919;1;700;B;B;4;F
1,50E+11;2015;Gramado;43;RS;;;;24;F;4309100;1;;0;1;4543;6367;5785;483;1;700;D;C;4;G
1,50E+11;2015;Manaus;13;AM;;;;22;F;1302603;1;;;2;5336;5867;5587;454;1;700;H;E;2;D
1,50E+11;2015;Natal;24;RN;;;;25;M;2408102;1;;0;3;4942;6941;5823;7145;1;680;B;D;5;D
1,50E+11;2015;São Paulo;35;SP;;;;20;F;3550308;1;;0;1;5695;6227;5695;5824;1;680;E;E;4;F
1,50E+11;2015;São José do Norte;43;RS;;;;19;F;4318507;1;;0;1;4804;556;5803;5588;1;680;D;E;4;G
1,50E+11;2015;Belo Horizonte;31;MG;;;;26;F;2927408;1;;0;3;5465;6688;6568;5517;1;680;H;C;2;C
1,50E+11;2015;Salto;35;SP;;;;26;M;3545209;1;;0;2;4282;6443;4549;5498;1;680;C;E;5;F
1,50E+11;2015;Contagem;31;MG;;;;22;F;3106200;1;;0;3;5047;6234;540;5424;1;680;C;C;4;F
1,50E+11;2015;Curitiba;41;PR;;;;23;F;2927408;1;;1;2;4037;5332;4748;5327;1;680;C;D;2;C
1,50E+11;2015;Marília;35;SP;;;;19;F;3529005;1;;0;0;5633;6221;6289;5297;1;680;D;D;5;E
1,50E+11;2015;Novo Horizonte;35;SP;;;;25;F;3533502;1;;0;1;5407;6033;5937;5154;1;680;B;D;5;C
1,50E+11;2015;São Paulo;35;SP;;;;20;F;3550308;1;;0;3;4823;6086;5511;5095;1;680;B;B;6;F
1,50E+11;2015;Mossoró;24;RN;;;;28;F;2402006;1;;0;3;5306;6575;6053;5094;1;680;C;E;2;D
1,50E+11;2015;São José dos Campos;35;SP;;;;35;M;1302603;1;;1;3;5216;6445;5707;5077;1;680;D;E;7;B
1,50E+11;2015;São José do Rio Preto;35;SP;;;;22;F;3541406;1;;0;1;5078;5779;5458;4972;1;680;E;E;1;C
1,50E+11;2015;Porto Alegre;43;RS;;;;20;F;4314902;1;;0;1;4095;5835;5641;4422;1;680;E;D;2;B
1,50E+11;2015;Suzano;35;SP;;;;20;F;3552502;1;;0;2;4324;602;5598;4282;1;680;H;C;3;A
1,50E+11;2015;Juiz de Fora;31;MG;;;;28;F;3136702;1;;0;1;426;5014;5206;3708;1;680;H;E;3;C
1,50E+11;2015;Rio de Janeiro;33;RJ;;;;21;F;3304557;1;;0;3;3994;5078;515;3564;1;680;C;E;6;D
1,50E+11;2015;Serra Talhada;26;PE;;;;17;F;2611606;1;;0;1;6537;6758;652;661;1;680;E;E;3;C
1,50E+11;2015;Rio Grande;43;RS;;;;24;F;3509502;1;;0;3;5192;6169;5383;520;1;680;D;D;4;D
1,50E+11;2015;Campina Grande;25;PB;;;;23;F;2504009;1;;0;3;4473;5201;4919;326;1;680;B;C;5;C
1,50E+11;2015;Fortaleza;23;CE;;;;34;M;2304400;1;;1;3;6887;6624;6324;8352;1;660;F;F;2;C
1,50E+11;2015;Rio Branco;12;AC;;;;25;M;3129301;1;;0;3;6807;7062;6142;7557;1;660;C;B;4;D
1,50E+11;2015;Ribeirão Preto;35;SP;;;;23;F;3543402;1;;0;1;5834;692;6153;7343;1;660;E;C;6;J
1,50E+11;2015;Rio de Janeiro;33;RJ;;;;19;F;3304557;1;;0;1;5681;5868;5631;6025;1;660;G;E;4;H
1,50E+11;2015;São Paulo;35;SP;;;;25;F;5300108;1;;0;1;5666;6367;6197;5313;1;660;E;E;2;J
1,50E+11;2015;Serra;32;ES;;;;28;F;3205309;1;;0;1;5733;6022;543;5245;1;660;D;B;3;C
1,50E+11;2015;Planalto;43;RS;;;;20;F;4314704;1;;0;1;4607;5859;5271;4891;1;660;C;B;3;C
1,50E+11;2015;Graça Aranha;21;MA;;;;24;M;2112308;1;;1;1;4267;4862;4447;4759;1;660;B;C;2;B
1,50E+11;2015;Abaetetuba;15;PA;;;;25;F;1500107;1;;1;3;4832;5945;5972;4616;1;660;E;E;2;C
1,50E+11;2015;Cariacica;32;ES;;;;18;F;2919207;1;;0;1;6015;6192;6083;4615;1;660;E;E;3;B
1,50E+11;2015;Guarapuava;41;PR;;;;23;F;4109401;1;;0;1;4937;578;5257;4556;1;660;D;C;4;C
1,50E+11;2015;Belém;15;PA;;;;22;F;1501402;1;;;3;5629;5902;5921;4327;1;660;H;F;4;E
1,50E+11;2015;Recife;26;PE;;;;16;F;2611606;1;;0;2;586;5976;5726;4314;1;660;E;E;2;C
1,50E+11;2015;Curitiba;41;PR;;;;21;F;4106902;1;;0;1;4659;588;4982;4218;1;660;B;B;3;F
1,50E+11;2015;Belém;15;PA;;;;44;M;1500800;1;;1;3;4393;5565;5533;3747;1;660;B;B;3;C
1,50E+11;2015;Viamão;43;RS;;;;18;F;4314902;1;;0;1;4668;5606;5491;556;1;660;E;E;4;B
1,50E+11;2015;Belém;15;PA;;;;20;M;1501402;1;;;3;5669;6121;5836;529;1;660;H;D;7;C
